medalist_name,Sport,Gender,Medal
Bair Badënov,archery,male,bronze
Jiang Lin,archery,male,bronze
Li Wenquan,archery,male,bronze
Xue Haifeng,archery,male,bronze
Bérengère Schuh,archery,female,bronze
Sophie Dodemont,archery,female,bronze
Virginie Arnold,archery,female,bronze
Yun Ok-hee,archery,female,bronze
Ilario Di Buò,archery,male,silver
Marco Galiazzo,archery,male,silver
Mauro Nespoli,archery,male,silver
Park Kyung-mo,archery,male,silver
Chen Ling,archery,female,silver
Guo Dan,archery,female,silver
Park Sung-hyun,archery,female,silver
Im Dong-hyun,archery,male,gold
Lee Chang-hwan,archery,male,gold
Viktor Ruban,archery,male,gold
Joo Hyun-Jung,archery,female,gold
Zhang Juanjuan,archery,female,gold
Alexander Artemev,artistic gymnastics,male,bronze
Anton Fokin,artistic gymnastics,male,bronze
Anton Golotsutskov,artistic gymnastics,male,bronze
Benoît Caranobe,artistic gymnastics,male,bronze
Fabian Hambüchen,artistic gymnastics,male,bronze
Jonathan Horton,artistic gymnastics,male,bronze
Joseph Hagerty,artistic gymnastics,male,bronze
Justin Spring,artistic gymnastics,male,bronze
Kevin Tan,artistic gymnastics,male,bronze
Louis Smith,artistic gymnastics,male,bronze
Oleksandr Vorobiov,artistic gymnastics,male,bronze
Raj Bhavsar,artistic gymnastics,male,bronze
Anamaria Tămârjan,artistic gymnastics,female,bronze
Andreea Acatrinei,artistic gymnastics,female,bronze
Andreea Grigore,artistic gymnastics,female,bronze
Gabriela Drăgoi,artistic gymnastics,female,bronze
Sandra Izbașa,artistic gymnastics,female,bronze
Steliana Nistor,artistic gymnastics,female,bronze
Yang Yilin,artistic gymnastics,female,bronze
Filip Ude,artistic gymnastics,male,silver
Gervasio Deferr,artistic gymnastics,male,silver
Hiroyuki Tomita,artistic gymnastics,male,silver
Koki Sakamoto,artistic gymnastics,male,silver
Kōhei Uchimura,artistic gymnastics,male,silver
Makoto Okiguchi,artistic gymnastics,male,silver
Takehiro Kashima,artistic gymnastics,male,silver
Takuya Nakase,artistic gymnastics,male,silver
Thomas Bouhail,artistic gymnastics,male,silver
Yoo Won-chul,artistic gymnastics,male,silver
Alicia Sacramone,artistic gymnastics,female,silver
Bridget Sloan,artistic gymnastics,female,silver
Chellsie Memmel,artistic gymnastics,female,silver
Oksana Chusovitina,artistic gymnastics,female,silver
Samantha Peszek,artistic gymnastics,female,silver
Shawn Johnson East,artistic gymnastics,female,silver
Chen Yibing,artistic gymnastics,male,gold
Huang Xu,artistic gymnastics,male,gold
Leszek Blanik,artistic gymnastics,male,gold
Li Xiaopeng,artistic gymnastics,male,gold
Xiao Qin,artistic gymnastics,male,gold
Yang Wei,artistic gymnastics,male,gold
Zou Kai,artistic gymnastics,male,gold
Cheng Fei,artistic gymnastics,female,gold
Deng Linlin,artistic gymnastics,female,gold
He Kexin,artistic gymnastics,female,gold
Hong Un-jong,artistic gymnastics,female,gold
Jiang Yuyuan,artistic gymnastics,female,gold
Li Shanshan,artistic gymnastics,female,gold
Nastia Liukin,artistic gymnastics,female,gold
Alex Sandro da Silva,association football,male,bronze
Alexandre Pato,association football,male,bronze
Anderson,association football,male,bronze
Breno Borges,association football,male,bronze
Diego Alves,association football,male,bronze
Diego Ribas da Cunha,association football,male,bronze
Hernanes,association football,male,bronze
Ilsinho,association football,male,bronze
Jô,association football,male,bronze
Lucas Leiva,association football,male,bronze
Marcel,association football,male,bronze
Rafael Sóbis,association football,male,bronze
Rafinha,association football,male,bronze
Ramires,association football,male,bronze
Renan Brito Soares,association football,male,bronze
Ronaldinho,association football,male,bronze
